Date,Price,Inventory
2021/5/27,17364,247782
2021/5/26,17168,248358
2021/5/25,17125,249372
2021/5/24,16780,249678
2021/5/21,17047,250296
2021/5/20,17326,250482
2021/5/19,17680,252072
2021/5/18,18142,253368
2021/5/17,17723,254982
2021/5/14,17404,256134
2021/5/13,17180,256134
2021/5/12,17932,256452
2021/5/11,17943,258270
2021/5/10,18070,259044
2021/5/7,18025,259986
2021/5/6,17943,260508
2021/5/5,17985,261228
2021/5/4,17861,261996
2021/4/30,17477,262044
2021/4/29,17433,262212
2021/4/28,17223,262458
2021/4/27,16914,263208
2021/4/26,16449,263556
2021/4/23,16150,264198
2021/4/22,16009,264246
2021/4/21,16085,264606
2021/4/20,16144,264474
2021/4/19,16063,262764
2021/4/16,16411,262950
2021/4/15,16049,263202
2021/4/14,16205,263226
2021/4/13,16173,257472
2021/4/12,16220,257625
2021/4/9,16629,257910
2021/4/8,16778,257418
2021/4/7,16681,258612
2021/4/6,16520,259398
2021/4/1,16001,259182
2021/3/31,16098,260244
2021/3/30,16327,260568
2021/3/29,16259,261018
2021/3/26,16255,260904
2021/3/25,15984,261204
2021/3/24,16133,261660
2021/3/23,16526,260928
2021/3/22,16425,259308
2021/3/19,16121,259974
2021/3/18,15999,260208
2021/3/17,15988,259782
2021/3/16,16131,260148
2021/3/15,16167,260724
2021/3/12,16158,260730
2021/3/11,16434,259662
2021/3/10,16040,259656
2021/3/9,15907,260352
2021/3/8,16115,260376
2021/3/5,16349,260376
2021/3/4,16144,260994
2021/3/3,17802,261534
2021/3/2,18580,258792
2021/3/1,18655,250584
2021/2/26,18607,251130
2021/2/25,19568,251058
2021/2/24,19352,251226
2021/2/23,19226,251094
2021/2/22,19689,249150
2021/2/19,19496,249480
2021/2/18,18966,249510
2021/2/17,18704,249510
2021/2/16,18615,249990
2021/2/15,18612,250056
2021/2/12,18363,250056
2021/2/11,18599,249846
2021/2/10,18484,248664
2021/2/9,18338,249948
2021/2/8,18067,249444
2021/2/5,17954,249444
2021/2/4,17535,249030
2021/2/3,17623,249078
2021/2/2,17756,249102
2021/2/1,17807,248856
2021/1/29,17727,248886
2021/1/28,17662,248886
2021/1/27,17818,248886
2021/1/26,18142,248688
2021/1/25,18240,248844
2021/1/22,17906,249366
2021/1/21,18370,249396
2021/1/20,18055,249726
2021/1/19,18075,249090
2021/1/18,18056,249300
2021/1/15,17970,249306
2021/1/14,17951,249396
2021/1/13,17675,249432
2021/1/12,17665,249198
2021/1/11,17164,248826
2021/1/8,17890,249018
2021/1/7,17929,248694
2021/1/6,17796,248382
2021/1/5,17517,247944
2021/1/4,17344,247980
2020/12/31,16540,246708
2020/12/30,16775,246114
2020/12/29,17003,246798
2020/12/24,16951,246654
2020/12/23,16691,246318
2020/12/22,16913,245064
2020/12/21,17342,245166
2020/12/18,17551,244212
2020/12/17,17520,244212
2020/12/16,17355,244314
2020/12/15,17650,244236
2020/12/14,17594,243300
2020/12/11,17192,243180
2020/12/10,16807,243426
2020/12/9,16475,243498
2020/12/8,16390,243564
2020/12/7,16290,243408
2020/12/4,16020,242562
2020/12/3,15937,241812
2020/12/2,15850,241842
2020/12/1,16102,241482
2020/11/30,16343,241662
2020/11/27,16373,241752
2020/11/26,16055,240636
2020/11/25,15975,240390
2020/11/24,16007,240174
2020/11/23,16017,240678
2020/11/20,15870,239664
2020/11/19,15690,239310
2020/11/18,15745,238980
2020/11/17,15703,238980
2020/11/16,16030,239076
2020/11/13,15815,239172
2020/11/12,15874,239154
2020/11/11,15807,239400
2020/11/10,15700,239292
2020/11/9,15862,238830
2020/11/6,15532,238830
2020/11/5,15450,238386
2020/11/4,15391,238956
2020/11/3,15365,238674
2020/11/2,15113,239016
2020/10/30,15256,239016
2020/10/29,15393,239310
2020/10/28,15819,238524
2020/10/27,15602,238152
2020/10/26,15397,238152
2020/10/23,15768,237630
2020/10/22,15707,237360
2020/10/21,16064,237366
2020/10/20,15791,236832
2020/10/19,15653,237342
2020/10/16,15603,237390
2020/10/15,15353,237306
2020/10/14,15105,237156
2020/10/13,15147,236934
2020/10/12,15217,235902
2020/10/9,14990,236070
2020/10/8,14687,236088
2020/10/7,14570,236058
2020/10/6,14643,236124
2020/10/5,14360,236172
2020/10/2,14271,236202
2020/10/1,14430,236148
2020/9/30,14385,236376
2020/9/29,14470,236400
2020/9/28,14416,235950
2020/9/25,14285,236952
2020/9/24,14179,236646
2020/9/23,14365,236310
2020/9/22,14554,236382
2020/9/21,14691,236502
2020/9/18,14908,236526
2020/9/17,14895,236988
2020/9/16,15160,237276
2020/9/15,15218,237180
2020/9/14,15090,237000
2020/9/11,14935,237138
2020/9/10,14748,237162
2020/9/9,14821,236478
2020/9/8,15090,236460
2020/9/7,15185,236508
2020/9/4,15210,236634
2020/9/3,15135,236736
2020/9/2,15658,237336
2020/9/1,15660,238722
2020/8/28,15414,238830
2020/8/27,15120,238830
2020/8/26,15034,238818
2020/8/25,14880,238494
2020/8/24,14862,238950
2020/8/21,14562,238950
2020/8/20,14666,239304
2020/8/19,14705,238584
2020/8/18,14602,238530
2020/8/17,14548,238638
2020/8/14,14235,238638
2020/8/13,14106,237228
2020/8/12,14167,235866
2020/8/11,14153,235890
2020/8/10,14146,235896
2020/8/7,14335,236280
2020/8/6,14381,235860
2020/8/5,14250,235470
2020/8/4,13888,235272
2020/8/3,13683,235266
2020/7/31,13756,235242
2020/7/30,13716,234786
2020/7/29,13762,235164
2020/7/28,13470,234852
2020/7/27,13718,234948
2020/7/24,13430,234636
2020/7/23,13460,235146
2020/7/22,13215,235182
2020/7/21,13315,235158
2020/7/20,13162,234690
2020/7/17,13281,234738
2020/7/16,13253,234960
2020/7/15,13512,234780
2020/7/14,13518,234192
2020/7/13,13482,234624
2020/7/10,13070,234672
2020/7/9,13425,234672
2020/7/8,13415,234654
2020/7/7,13231,234216
2020/7/6,13242,234216
2020/7/3,13040,234264
2020/7/2,12823,234312
2020/7/1,12555,233526
2020/6/30,12790,233898
2020/6/29,12684,233658
2020/6/26,12709,233970
2020/6/25,12386,233586
2020/6/24,12510,233562
2020/6/23,12541,233562
2020/6/22,12625,233238
2020/6/19,12855,233238
2020/6/18,12760,233274
2020/6/17,12900,233298
2020/6/16,12930,233118
2020/6/15,12503,232878
2020/6/12,12733,232878
2020/6/11,12615,232410
2020/6/10,12881,232410
2020/6/9,12804,232110
2020/6/8,12943,232110
2020/6/5,12785,232410
2020/6/4,12608,232806
2020/6/3,12812,232806
2020/6/2,12680,232812
2020/6/1,12418,233496
2020/5/29,12120,233178
2020/5/28,12133,233502
2020/5/27,12144,234198
2020/5/26,12260,234198
2020/5/22,12124,233850
2020/5/21,12762,233874
2020/5/20,12335,233874
2020/5/19,12300,233970
2020/5/18,11950,233640
2020/5/15,11807,233844
2020/5/14,12084,233604
2020/5/13,12200,233310
2020/5/12,12275,233310
2020/5/11,12188,233046
2020/5/7,12247,233034
2020/5/6,12199,233304
2020/5/5,11805,233304
2020/5/4,11785,230634
2020/5/1,11853,230712
2020/4/30,12134,231156
2020/4/29,12135,231156
2020/4/28,12251,231132
2020/4/27,12256,231132
2020/4/24,12073,230664
2020/4/23,12010,230352
2020/4/22,11895,230358
2020/4/21,12085,230016
2020/4/20,12255,230190
2020/4/17,11887,230304
2020/4/16,11657,230064
2020/4/15,11712,228966
2020/4/14,11723,229038
2020/4/9,11457,229062
2020/4/8,11425,229062
2020/4/7,11350,228606
2020/4/6,11162,228606
2020/4/3,11192,228768
2020/4/2,11185,228768
2020/4/1,11220,228768
2020/3/31,11235,229812
2020/3/30,11280,230172
2020/3/27,11225,229488
2020/3/26,11221,229518
2020/3/25,11175,229638
2020/3/24,11075,230220
2020/3/23,11055,230544
2020/3/20,11370,230724
2020/3/19,11235,230760
2020/3/18,11420,231480
2020/3/17,11830,232074
2020/3/16,11775,233682
2020/3/13,12565,234384
2020/3/12,11855,234378
2020/3/11,12435,234666
2020/3/10,12835,234486
2020/3/9,12415,235068
2020/3/6,12710,236106
2020/3/5,12800,235950
2020/3/4,12700,235404
2020/3/3,12555,235254
2020/3/2,12440,235368
2020/2/28,12160,235428
2020/2/27,12280,229860
2020/2/26,12290,230196
2020/2/25,12540,230256
2020/2/24,12360,228924
2020/2/21,12440,224700
2020/2/20,12685,224766
2020/2/19,12700,220926
2020/2/18,12880,218214
2020/2/17,13070,215802
2020/2/14,13035,212094
2020/2/13,13065,210066
2020/2/12,13050,209742
2020/2/11,13100,208722
2020/2/10,12880,204078
2020/2/7,12770,203946
2020/2/6,13010,200424
2020/2/5,13005,200454
2020/2/4,12800,200940
2020/2/3,12750,196854
2020/1/31,12675,195942
2020/1/30,12535,194568
2020/1/29,12630,194526
2020/1/28,12740,192324
2020/1/27,12650,192468
